direction,seed,metric,delta_mean_bootstrap,cell_bootstrap_ci_low,cell_bootstrap_ci_high,excludes_zero
direction_B,7,aurc,-0.0028610578082404435,-0.007683704013044831,0.002194570787478384,False
direction_B,8,error_auroc_predictive,-0.011788726249847784,-0.023457208022236508,-7.160534748994028e-05,True
direction_B,8,error_auprc_predictive,-0.06367030495332998,-0.10426791509874012,-0.027847472443739793,True
direction_B,8,ece_equal_frequency,0.007923883230268635,-0.0031725934890269496,0.019313621805202522,False
direction_B,8,brier,-0.028672883041207905,-0.03669348589276216,-0.020494373545107143,True
direction_B,8,aurc,-0.0028294233787646357,-0.006450041545253939,0.0010761381439580895,False
direction_B,9,error_auroc_predictive,-0.0025775045913763073,-0.013709580123863852,0.007906725875256888,False
direction_B,9,error_auprc_predictive,-0.06922954977197988,-0.10796807777843172,-0.02875891421352806,True
direction_B,9,ece_equal_frequency,0.010830298398437114,-0.001538828465810248,0.02329504781082213,False
direction_B,9,brier,-0.052114278022634346,-0.06129186036050656,-0.04313074523586186,True
direction_B,9,aurc,-0.015237568756726,-0.01946918630950878,-0.011143376751363187,True
direction_B,10,error_auroc_predictive,0.013261769267368554,0.00026114173250527464,0.02436623053230846,True
direction_B,10,error_auprc_predictive,0.008124422735011976,-0.032329472517484005,0.04843096836303739,False
direction_B,10,ece_equal_frequency,0.017119474183035967,0.005214329664161321,0.02828739513752396,True
direction_B,10,brier,-0.03829559577787272,-0.04601844613079505,-0.031839054870822774,True
direction_B,10,aurc,-0.011972487108846356,-0.01591284002512045,-0.008421283349459201,True
direction_B,11,error_auroc_predictive,-0.014566519669265811,-0.027014953368792814,-0.002042678463409965,True
direction_B,11,error_auprc_predictive,-0.023359565777790983,-0.05843183216499981,0.012438291125571719,False
direction_B,11,ece_equal_frequency,0.0017166183557408838,-0.008601393951646542,0.013295647817695695,False
direction_B,11,brier,0.010264728777111369,-0.00040548693607843724,0.02185739240392212,False
direction_B,11,aurc,0.014321674943343101,0.008866563163572243,0.020362187427003388,True
direction_B,12,error_auroc_predictive,-0.019251859258694038,-0.03184453336410675,-0.006481791329361312,True
direction_B,12,error_auprc_predictive,-0.0324191278001252,-0.07186990509176364,0.005740315693375335,False
direction_B,12,ece_equal_frequency,-0.006916226854861422,-0.01743262130617196,0.005780263333053577,False
direction_B,12,brier,-0.012438581170369977,-0.022065969408918883,-0.002715527396957176,True
direction_B,12,aurc,0.00574522657664636,0.0007808389971694263,0.009996492806389066,True
direction_B,13,error_auroc_predictive,0.010769381384584446,-0.0017936476913044256,0.023753381224678988,False
direction_B,13,error_auprc_predictive,-0.07231958406907053,-0.10786286949472278,-0.036499425145776525,True
direction_B,13,ece_equal_frequency,-0.009206494952406483,-0.019898825691417,0.002644890930883371,False
