donor,model,metric,within_donor_seed_sd
Donor03,scvi_matched,risk_100,0.014058011365781256
Donor03,totalvi,risk_100,0.007697626263822183
Donor04,scvi_matched,risk_100,0.016656754880677516
Donor04,totalvi,risk_100,0.007781645981452086
Donor05,scvi_matched,risk_100,0.009839585334463012
Donor05,totalvi,risk_100,0.014108204608078257
Donor06,scvi_matched,risk_100,0.013746634521062619
Donor06,totalvi,risk_100,0.00884353361698116
Donor07,scvi_matched,risk_100,0.0113614314944845
Donor07,totalvi,risk_100,0.00973671467623502
Donor08,scvi_matched,risk_100,0.013971498580141186
Donor08,totalvi,risk_100,0.009172560850705641
Donor09,scvi_matched,risk_100,0.005791948926254457
Donor09,totalvi,risk_100,0.005307036543158839
Donor10,scvi_matched,risk_100,0.012714028384809168
Donor10,totalvi,risk_100,0.005749595745760694
Donor01,scvi_matched,risk_50,0.00942671252532316
Donor01,totalvi,risk_50,0.008417490525028104
Donor02,scvi_matched,risk_50,0.009929449347003358
Donor02,totalvi,risk_50,0.008784104611578823
Donor03,scvi_matched,risk_50,0.011098506329842883
Donor03,totalvi,risk_50,0.00593029411943386
Donor04,scvi_matched,risk_50,0.011315482213709678
Donor04,totalvi,risk_50,0.003957071107236171
Donor05,scvi_matched,risk_50,0.007755493318403245
Donor05,totalvi,risk_50,0.0058560697410525745
Donor06,scvi_matched,risk_50,0.015947628650013323
Donor06,totalvi,risk_50,0.00586094196964689
Donor07,scvi_matched,risk_50,0.013835739353952407
Donor07,totalvi,risk_50,0.0101231803729953
Donor08,scvi_matched,risk_50,0.017301487517888705
Donor08,totalvi,risk_50,0.006567554849778566
Donor09,scvi_matched,risk_50,0.00813652771263078
Donor09,totalvi,risk_50,0.007026311079635688
Donor10,scvi_matched,risk_50,0.00745339647511441
Donor10,totalvi,risk_50,0.00512977926649987
Donor01,scvi_matched,error_prevalence,0.019415222757347778
Donor01,totalvi,error_prevalence,0.011838147837056792
Donor02,scvi_matched,error_prevalence,0.008971366312632078
Donor02,totalvi,error_prevalence,0.011117029536352008
Donor03,scvi_matched,error_prevalence,0.014058011365781267
Donor03,totalvi,error_prevalence,0.007697626263822179
Donor04,scvi_matched,error_prevalence,0.016656754880677513
Donor04,totalvi,error_prevalence,0.007781645981452078
Donor05,scvi_matched,error_prevalence,0.009839585334463
