donor,metric,scvi_mean_over_seeds,totalvi_mean_over_seeds,delta,median_delta,sd_delta_across_donors,n_donors_positive,n_donors_negative,n_donors_equal,n_donors
Donor01,ece_equal_width,0.04560834101620263,0.034313070242719124,-0.01129527077348351,,,,,,
Donor02,ece_equal_width,0.05319438123991745,0.04538534603316891,-0.007809035206748541,,,,,,
Donor03,ece_equal_width,0.03653667892559921,0.04095281006085991,0.004416131135260695,,,,,,
Donor04,ece_equal_width,0.031127158869271993,0.038912277094934174,0.0077851182256621805,,,,,,
Donor05,ece_equal_width,0.02842491079554401,0.030159348419881986,0.0017344376243379755,,,,,,
Donor06,ece_equal_width,0.027681130596569608,0.03219430485608862,0.004513174259519009,,,,,,
Donor07,ece_equal_width,0.030609989098880602,0.03850670963266622,0.007896720533785616,,,,,,
Donor08,ece_equal_width,0.026047168593169006,0.03611859195050421,0.010071423357335203,,,,,,
Donor09,ece_equal_width,0.03227188673638205,0.03402945782619578,0.0017575710898137253,,,,,,
Donor10,ece_equal_width,0.038207280973265,0.03728703524455551,-0.0009202457287094887,,,,,,
SUMMARY,ece_equal_width,0.03497089268448016,0.036785895136157445,0.0018150024516772865,0.0030868511125372103,0.006886676358817069,7.0,3.0,0.0,10.0
Donor01,full_aurc,0.08006560189074167,0.033857049542174306,-0.04620855234856737,,,,,,
Donor02,full_aurc,0.06955462182833419,0.036540672526411064,-0.033013949301923126,,,,,,
Donor03,full_aurc,0.06558118363242303,0.02628588297688485,-0.039295300655538185,,,,,,
Donor04,full_aurc,0.08967228508210426,0.033286176362487103,-0.056386108719617155,,,,,,
Donor05,full_aurc,0.09202068201385119,0.03813010920541511,-0.05389057280843608,,,,,,
Donor06,full_aurc,0.10133937944387408,0.03409148563014709,-0.06724789381372699,,,,,,
Donor07,full_aurc,0.1316537904354782,0.053133286218289374,-0.07852050421718883,,,,,,
Donor08,full_aurc,0.10270638533975607,0.044363039270523666,-0.0583433460692324,,,,,,
Donor09,full_aurc,0.054329886612945945,0.026289955603540506,-0.02803993100940544,,,,,,
Donor10,full_aurc,0.08216605759663258,0.03591740742083492,-0.046248650175797656,,,,,,
SUMMARY,full_aurc,0.08690898738761411,0.036189506475670805,-0.050719480911943324,-0.05006961149211687,0.015438306168657942,0.0,10.0,0.0,10.0
Donor01,paurc_0.5_1.0,0.14485577712998296,0.06245947716763115,-0.08239629996235182,,,,,,
Donor02,paurc_0.5_1.0,0.13233887813492912,0.06878171300710204,-0.06355716512782708,,,,,,
Donor03,paurc_0.5_1.0,0.12356952175611172,0.05036586212078241,-0.07320365963532931,,,,,,
Donor04,paurc_0.5_1.0,0.16349069773525193,0.061105650637787445,-0.10238504709746449,,,,,,
Donor05,paurc_0.5_1.0,0.16621429437454047,0.0712448764526565,-0.09496941792188397,,,,,,
Donor06,paurc_0.5_1.0,0.17986269730498844,0.06445310518289962,-0.11540959212208882,,,,,,
Donor07,paurc_0.5_1.0,0.22016504687427368,0.09767758366019513,-0.12248746321407855,,,,,,
Donor08,paurc_0.5_1.0,0.18359449374246564,0.07997579437330017,-0.10361869936916547,,,,,,
Donor09,paurc_0.5_1.0,0.10502035079539174,0.05087158574906138,-0.05414876504633036,,,,,,
Donor10,paurc_0.5_1.0,0.14913234610076773,0.06521904003911115,-0.08391330606165658,,,,,,
SUMMARY,paurc_0.5_1.0,0.15682441039487033,0.0672154688390527,-0.08960894155581764,-0.08944136199177027,0.022172612135529114,0.0,10.0,0.0,10.0
Donor01,e_aurc,0.05100904541001483,0.024923386142589734,-0.026085659267425097,,,,,,
Donor02,e_aurc,0.042124625050059115,0.02820626659101887,-0.013918358459040246,,,,,,
Donor03,e_aurc,0.04297974552277383,0.018782402265366045,-0.024197343257407786,,,,,,
Donor04,e_aurc,0.054972864501713584,0.02384201414899228,-0.031130850352721305,,,,,,
Donor05,e_aurc,0.0572821823902099,0.026359352307673594,-0.030922830082536306,,,,,,
Donor06,e_aurc,0.06421282418129888,0.02367415549309154,-0.04053866868820734,,,,,,
Donor07,e_aurc,0.08209566404310162,0.034669047986093514,-0.047426616057008104,,,,,,
Donor08,e_aurc,0.06359408797461588,0.03309335656221284,-0.03050073141240304,,,,,,
Donor09,e_aurc,0.034186614124229436,0.019623024843068777,-0.014563589281160659,,,,,,
Donor10,e_aurc,0.052104109091505105,0.027123690633307412,-0.024980418458197692,,,,,,
SUMMARY,e_aurc,0.05445617622895221,0.02602966969734146,-0.028426506531610756,-0.02829319533991407,0.010346571605162844,0.0,10.0,0.0,10.0
Donor01,risk_100,0.22919896640826876,0.12894056847545218,-0.10025839793281657,,,,,,
Donor02,risk_100,0.22318339100346019,0.12422145328719722,-0.09896193771626297,,,,,,
Donor03,risk_100,0.20356435643564352,0.1188118811881188,-0.08475247524752472,,,,,,
Donor04,risk_100,0.250191570881226,0.13314176245210727,-0.11704980842911875,,,,,,
Donor05,risk_100,0.25077989601386486,0.14800693240901214,-0.10277296360485272,,,,,,
Donor06,risk_100,0.2586919104991394,0.13975903614457832,-0.1189328743545611,,,,,,
Donor07,risk_100,0.2968695652173913,0.1848695652173913,-0.11199999999999996,,,,,,
Donor08,risk_100,0.26526479750778814,0.1453271028037383,-0.11993769470404983,,,,,,
Donor09,risk_100,0.19293893129770992,0.11221374045801528,-0.08072519083969464,,,,,,
Donor10,risk_100,0.23388429752066114,0.1287603305785124,-0.10512396694214873,,,,,,
SUMMARY,risk_100,0.2404567682785153,0.13640523730141232,-0.104051530977103,-0.10394846527350073,0.013603946824118932,0.0,10.0,0.0,10.0
Donor01,risk_50,0.07061855670103093,0.02577319587628866,-0.04484536082474227,,,,,,
Donor02,risk_50,0.04444444444444445,0.030555555555555548,-0.013888888888888905,,,,,,
Donor03,risk_50,0.046031746031746056,0.013095238095238094,-0.03293650793650796,,,,,,
Donor04,risk_50,0.07854406130268198,0.022222222222222244,-0.056321839080459735,,,,,,
Donor05,risk_50,0.07604166666666669,0.018055555555555568,-0.05798611111111112,,,,,,
Donor06,risk_50,0.09137931034482759,0.017241379310344862,-0.07413793103448273,,,,,,
Donor07,risk_50,0.13576388888888888,0.03298611111111109,-0.10277777777777779,,,,,,
Donor08,risk_50,0.09595015576323988,0.03738317757009346,-0.05856697819314642,,,,,,
Donor09,risk_50,0.026335877862595426,0.013358778625954193,-0.012977099236641233,,,,,,
Donor10,risk_50,0.06688741721854304,0.029139072847682114,-0.03774834437086092,,,,,,
SUMMARY,risk_50,0.07319971252246649,0.023981028677004582,-0.04921868384546191,-0.050583599952601005,0.027247241219266582,0.0,10.0,0.0,10.0
