direction,model,model_seed,coverage,n_retained,accuracy,risk,macro_f1,balanced_accuracy
pbmc5k_to_pbmc10k,totalvi,2,0.9,5368,0.8407228017883756,0.15927719821162445,0.7049772423488909,0.7168323371516111
pbmc5k_to_pbmc10k,totalvi,2,0.8,4771,0.8775937958499267,0.1224062041500733,0.7033264519587279,0.7162001326456272
pbmc5k_to_pbmc10k,totalvi,2,0.7,4175,0.911377245508982,0.08862275449101797,0.7135684624070112,0.7244664157564304
pbmc5k_to_pbmc10k,totalvi,2,0.6,3578,0.9390721073225266,0.06092789267747345,0.7136739357734749,0.7228332623965572
pbmc5k_to_pbmc10k,totalvi,2,0.5,2982,0.9584171696847753,0.041582830315224695,0.7316070169995849,0.7343760103988163
pbmc5k_to_pbmc10k,totalvi,3,1.0,5964,0.8197518443997317,0.1802481556002683,0.6714806524889094,0.6820096191360213
pbmc5k_to_pbmc10k,totalvi,3,0.9,5368,0.8651266766020864,0.13487332339791358,0.686072153504521,0.6956505631163148
pbmc5k_to_pbmc10k,totalvi,3,0.8,4771,0.9058897505763991,0.09411024942360091,0.703573229792008,0.714532427737734
pbmc5k_to_pbmc10k,totalvi,3,0.7,4175,0.9396407185628742,0.06035928143712577,0.7151517091210476,0.7173079147523451
pbmc5k_to_pbmc10k,totalvi,3,0.6,3578,0.9664617104527669,0.03353828954723315,0.7379348525358667,0.7302801226769768
pbmc5k_to_pbmc10k,totalvi,3,0.5,2982,0.9839034205231388,0.01609657947686116,0.7112789168367017,0.719815098097826
pbmc5k_to_pbmc10k,totalvi,4,1.0,5964,0.8101945003353455,0.18980549966465454,0.6596235270807813,0.6550385837838318
pbmc5k_to_pbmc10k,totalvi,4,0.9,5368,0.8640089418777943,0.1359910581222057,0.6665492358243544,0.6664222043322736
pbmc5k_to_pbmc10k,totalvi,4,0.8,4771,0.9044225529239153,0.09557744707608473,0.676444412012347,0.6680378563188958
pbmc5k_to_pbmc10k,totalvi,4,0.7,4175,0.9386826347305389,0.06131736526946108,0.6822327102277702,0.6622413735433492
pbmc5k_to_pbmc10k,totalvi,4,0.6,3578,0.9647847959754052,0.03521520402459477,0.6919306830075824,0.6623461401357827
pbmc5k_to_pbmc10k,totalvi,4,0.5,2982,0.9815560026827632,0.018443997317236782,0.7899488976758531,0.7576682680863552
