direction,model,model_seed,scheme,bin,bin_lower,bin_upper,n_cells,mean_confidence,empirical_accuracy,gap
pbmc10k_to_pbmc5k,totalvi,0,equal_frequency,11,0.9874869346618652,0.9941311955451966,225,0.9912568926811218,0.9911111111111112,-0.00014578157001066128
pbmc10k_to_pbmc5k,totalvi,0,equal_frequency,12,0.9941311955451966,0.9968453486760457,224,0.9956336617469788,1.0,0.00436633825302124
pbmc10k_to_pbmc5k,totalvi,0,equal_frequency,13,0.9968453486760457,0.9984477599461873,225,0.9976738095283508,1.0,0.00232619047164917
pbmc10k_to_pbmc5k,totalvi,0,equal_frequency,14,0.9984477599461873,0.9999936819076538,225,0.9992002248764038,1.0,0.0007997751235961914
pbmc10k_to_pbmc5k,totalvi,0,equal_width,3,0.2,0.26666666666666666,2,0.23532873392105103,0.0,-0.23532873392105103
pbmc10k_to_pbmc5k,totalvi,0,equal_width,4,0.26666666666666666,0.3333333333333333,15,0.3094993531703949,0.26666666666666666,-0.042832686503728234
pbmc10k_to_pbmc5k,totalvi,0,equal_width,5,0.3333333333333333,0.4,48,0.3703526258468628,0.375,0.004647374153137207
pbmc10k_to_pbmc5k,totalvi,0,equal_width,6,0.4,0.4666666666666667,79,0.43662649393081665,0.3670886075949367,-0.06953788633587993
pbmc10k_to_pbmc5k,totalvi,0,equal_width,7,0.4666666666666667,0.5333333333333333,172,0.5037131905555725,0.4186046511627907,-0.08510853939278179
pbmc10k_to_pbmc5k,totalvi,0,equal_width,8,0.5333333333333333,0.6,181,0.566423773765564,0.48066298342541436,-0.0857607903401496
pbmc10k_to_pbmc5k,totalvi,0,equal_width,9,0.6,0.6666666666666666,190,0.6311650276184082,0.5842105263157895,-0.04695450130261869
pbmc10k_to_pbmc5k,totalvi,0,equal_width,10,0.6666666666666666,0.7333333333333333,210,0.7017675638198853,0.6904761904761905,-0.011291373343694788
pbmc10k_to_pbmc5k,totalvi,0,equal_width,11,0.7333333333333333,0.8,258,0.7667502760887146,0.7558139534883721,-0.010936322600342496
pbmc10k_to_pbmc5k,totalvi,0,equal_width,12,0.8,0.8666666666666667,293,0.8341464996337891,0.7815699658703071,-0.052576533763481925
pbmc10k_to_pbmc5k,totalvi,0,equal_width,13,0.8666666666666667,0.9333333333333333,400,0.9008841514587402,0.885,-0.015884151458740225
pbmc10k_to_pbmc5k,totalvi,0,equal_width,14,0.9333333333333333,1.0,1521,0.9833620190620422,0.9907955292570677,0.007433510195025472
pbmc10k_to_pbmc5k,totalvi,1,equal_frequency,0,0.2627721130847931,0.5218855261802673,225,0.4474412798881531,0.40444444444444444,-0.042996835443708636
pbmc10k_to_pbmc5k,totalvi,1,equal_frequency,1,0.5218855261802673,0.6012458721796672,225,0.5645686984062195,0.5333333333333333,-0.031235365072886156
pbmc10k_to_pbmc5k,totalvi,1,equal_frequency,2,0.6012458721796672,0.6736809372901916,224,0.6372946500778198,0.59375,-0.043544650077819824
pbmc10k_to_pbmc5k,totalvi,1,equal_frequency,3,0.6736809372901916,0.7453608711560568,225,0.7083650827407837,0.6933333333333334,-0.015031749407450334
pbmc10k_to_pbmc5k,totalvi,1,equal_frequency,4,0.7453608711560568,0.8020140926043191,224,0.7756825685501099,0.7098214285714286,-0.06586113997868126
pbmc10k_to_pbmc5k,totalvi,1,equal_frequency,5,0.8020140926043191,0.8516805768013,225,0.82781982421875,0.7822222222222223,-0.04559760199652774
pbmc10k_to_pbmc5k,totalvi,1,equal_frequency,6,0.8516805768013,0.8901198983192444,224,0.8721896409988403,0.8660714285714286,-0.006118212427411729
pbmc10k_to_pbmc5k,totalvi,1,equal_frequency,7,0.8901198983192444,0.9249958634376526,225,0.9077948927879333,0.8577777777777778,-0.0500171150101556
pbmc10k_to_pbmc5k,totalvi,1,equal_frequency,8,0.9249958634376526,0.953253674507141,224,0.9391657710075378,0.9196428571428571,-0.019522913864680747
