condition,direction,subsample_seed,model_seed,model,source_n,target_n,label_level,evaluation_class_set,n_classes,target_coverage,classifier,accuracy,balanced_accuracy,macro_f1,weighted_f1,neighbor_agreement_k15,neighbor_agreement_k30,neighbor_agreement_k50,source_training_epochs,query_adaptation_epochs,source_runtime,query_runtime,gpu_peak_allocated_mb,gpu_peak_reserved_mb,process_peak_rss_mb,source_latent_drift,target_asw,target_knn_purity_15
original_B,pbmc5k_to_pbmc10k,,0,totalvi,3994,6855,l1,common,8,1.0,knn15,0.8603736479842674,0.7710626481287562,0.8079757379373923,0.8477612431615537,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,0,totalvi,3994,6855,l1,common,8,1.0,knn30,0.8582431989511635,0.7520793909756421,0.7974247163380039,0.8421645622480893,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,1,scvi_matched,3994,6855,l1,common,8,1.0,logreg,0.8243198951163553,0.6866073842191904,0.70563566585784,0.790047525303899,0.7608215885502022,0.7540041516442698,0.748384136348738,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,1,scvi_matched,3994,6855,l1,common,8,1.0,knn15,0.803834808259587,0.6643666504450858,0.6756046340253345,0.7614303234770482,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,1,scvi_matched,3994,6855,l1,common,8,1.0,knn30,0.8023598820058997,0.6576101745406779,0.667265965885017,0.7574245668474812,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,1,totalvi,3994,6855,l1,common,8,1.0,logreg,0.8592264831202884,0.7739026002362621,0.7850442382306153,0.8536830024703612,0.8147274117775594,0.8015732546705999,0.7881776466732218,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,1,totalvi,3994,6855,l1,common,8,1.0,knn15,0.877745001638807,0.7719083777742622,0.8080546986629931,0.8649539123959794,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,1,totalvi,3994,6855,l1,common,8,1.0,knn30,0.8641429039659129,0.7436831010430514,0.7829224341623634,0.8471140110677009,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,2,scvi_matched,3994,6855,l1,common,8,1.0,logreg,0.8392330383480826,0.7297763468695053,0.755450518696078,0.8151486363779707,0.7617502458210424,0.7519774937179068,0.7425040970173714,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,2,scvi_matched,3994,6855,l1,common,8,1.0,knn15,0.8044903310390036,0.6869569777798583,0.6877212438528026,0.7622517266171656,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,2,scvi_matched,3994,6855,l1,common,8,1.0,knn30,0.8085873484103573,0.6855799573796706,0.6924577993436203,0.7660221497183464,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,2,totalvi,3994,6855,l1,common,8,1.0,logreg,0.8992133726647001,0.8716237099817656,0.8613939328537898,0.9008174617458433,0.7996831639899487,0.7881459630722168,0.7772238610291707,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,2,totalvi,3994,6855,l1,common,8,1.0,knn15,0.8498852835136022,0.7601493418172178,0.7903855510880757,0.834391967768043,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,2,totalvi,3994,6855,l1,common,8,1.0,knn30,0.8425106522451655,0.735413548601425,0.7724909491442188,0.8206532492210393,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,3,scvi_matched,3994,6855,l1,common,8,1.0,logreg,0.8313667649950836,0.7145581232481919,0.7420794941224658,0.8057823196426677,0.7724571178848466,0.7602589314978696,0.7485611274991807,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,3,scvi_matched,3994,6855,l1,common,8,1.0,knn15,0.8051458538184202,0.6828286897865435,0.6939715277810805,0.7657144492116472,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,3,scvi_matched,3994,6855,l1,common,8,1.0,knn30,0.8041625696492953,0.6777844489445197,0.6895367171778889,0.762917354566325,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,3,totalvi,3994,6855,l1,common,8,1.0,logreg,0.9347754834480498,0.8740108084479863,0.8923497465826367,0.9320459848617854,0.8263957172511746,0.8117830219600131,0.7974926253687318,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,3,totalvi,3994,6855,l1,common,8,1.0,knn15,0.8757784333005572,0.7799293355958654,0.8211508236963103,0.8631762970118261,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,3,totalvi,3994,6855,l1,common,8,1.0,knn30,0.8684038020321206,0.7677390709334567,0.810409580487997,0.8532050315076165,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,4,scvi_matched,3994,6855,l1,common,8,1.0,logreg,0.8639790232710587,0.7555050367789224,0.803340194759937,0.8498045492059777,0.7695181907571289,0.7624877089478861,0.75406751884628,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,4,scvi_matched,3994,6855,l1,common,8,1.0,knn15,0.8179285480170436,0.6931364635437847,0.7212837545842056,0.7837220052800409,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,4,scvi_matched,3994,6855,l1,common,8,1.0,knn30,0.8153064568993773,0.6853259678314766,0.7105649987259285,0.7774754812897742,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,4,totalvi,3994,6855,l1,common,8,1.0,logreg,0.9300229432972795,0.8460038265437606,0.8802600041089708,0.9251857767588917,0.8123347536326888,0.8001420299355403,0.7885119632907244,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,4,totalvi,3994,6855,l1,common,8,1.0,knn15,0.852015732546706,0.7401630151269655,0.7785861662888811,0.8347685109899836,,,,,,,,,,,,,
original_B,pbmc5k_to_pbmc10k,,4,totalvi,3994,6855,l1,common,8,1.0,knn30,0.845296624057686,0.7262441213995665,0.766070069739786,0.8239386039556658,,,,,,,,,,,,,
size_matched_A,pbmc10k_to_pbmc5k,0.0,0,scvi_matched,3994,3994,l2,common,19,0.9702240566037735,logreg,0.7879064114250988,0.6611941086731822,0.6512479718657496,0.7796887133254845,0.7012458219386205,0.6863668591107058,0.6652749924035248,200.0,200.0,65.14600938799776,53.72145661700051,406.35498046875,420.0,2832.16796875,0.0,0.1265399008989334,0.7195558176100628
