subsample_seed,label_level,cell_type,full_source_count,subsample_count,full_source_fraction,subsample_fraction,absolute_fraction_difference
3,l1,DC,172,104,0.02509117432530999,0.026039058587881823,0.0009478842625718319
3,l1,Mono,1453,830,0.21196207148067103,0.20781171757636455,0.004150353904306486
3,l1,NK,861,490,0.12560175054704595,0.12268402603905859,0.002917724507987357
3,l1,other,317,177,0.0462436177972283,0.0443164747120681,0.0019271430851601976
3,l1,other T,565,337,0.0824215900802334,0.08437656484727091,0.001954974767037501
4,l2,ASDC,3,2,0.000437636761487965,0.000500751126690035,6.311436520207e-05
4,l2,B intermediate,78,55,0.011378555798687089,0.013770655983975965,0.0023921001852888757
4,l2,B memory,105,64,0.015317286652078774,0.01602403605408112,0.0007067494020023459
4,l2,B naive,316,189,0.04609773887673231,0.04732098147220831,0.0012232425954760012
4,l2,CD14 Mono,1342,767,0.19576951130561634,0.19203805708562843,0.003731454219987912
4,l2,CD16 Mono,111,64,0.016192560175054705,0.01602403605408112,0.00016852412097358507
