model,source_subset_seed,model_seed,replicate,run_replicate_seed,accuracy,balanced_accuracy,macro_f1,weighted_f1,error_auroc,error_auprc,error_prevalence,nll,brier,ece,aurc,n_source_eval,n_target_eval
scvi_matched,4,1,0,,0.7869894099848714,0.6439629418933912,0.6283390768347742,0.7795800504844471,0.8417053318653663,0.5442851019439493,0.2130105900151286,0.5797849362775072,0.2950865884825001,0.03376539968145777,0.06208780260349786,3484,3305
scvi_matched,4,1,1,91041.0,0.7527987897125568,0.6176164789677078,0.6024897586180885,0.7517221975004512,0.8427325089437869,0.5741165236834456,0.24720121028744327,0.6637498578001387,0.3382739340229519,0.04945732875418553,0.07590957772357125,3484,3305
scvi_matched,4,2,0,,0.7609682299546142,0.6121652791732141,0.5922782200807625,0.7562346769040176,0.8440929108890957,0.5689950017531197,0.23903177004538578,0.634101272534483,0.3232078826682659,0.031162311332849798,0.07229450056543327,3484,3305
scvi_matched,4,2,1,91042.0,0.7803328290468986,0.6474860627239236,0.6277502735629023,0.7772125921336089,0.839562657488915,0.5448409238881584,0.21966717095310137,0.6146557033170006,0.30581400494538585,0.020996591381153795,0.06549044906948369,3484,3305
scvi_matched,4,3,0,,0.7446293494704992,0.6118556915168452,0.5932720100006614,0.7357257399544862,0.8418070718372488,0.574711865977401,0.25537065052950075,0.6925023613280172,0.3448627149674882,0.048230077720806556,0.07950225446360865,3484,3305
scvi_matched,4,3,1,91043.0,0.7482602118003026,0.5960854539003875,0.5769936125698754,0.7424323801950657,0.8247768204298733,0.5540990980559604,0.25173978819969745,0.6997863473920122,0.35035407342655717,0.057737288487660895,0.0835601509618586,3484,3305
scvi_matched,4,4,0,,0.7700453857791225,0.6312469401384708,0.6027551101383813,0.7670545550668985,0.8275535104952952,0.5090528038084877,0.22995461422087746,0.6351059721422828,0.3199142620145745,0.033787572365845925,0.07265349232037728,3484,3305
scvi_matched,4,4,1,91044.0,0.7709531013615734,0.608816806398411,0.5987717943310501,0.7668255223077758,0.8264372917137589,0.5246042117409745,0.22904689863842662,0.6241815666204887,0.3188720913003478,0.029642333466779455,0.07300747448430399,3484,3305
totalvi,4,0,0,,0.7915279878971255,0.6047701699211714,0.5954961687678951,0.76903766077445,0.8454492394686266,0.539199363255521,0.20847201210287444,0.5870555935120555,0.2920302569750628,0.020195297177728836,0.05981040667857353,3484,3305
totalvi,4,0,1,91040.0,0.7975794251134645,0.618283147175345,0.6122872710192031,0.7731518910358971,0.8534497619485064,0.5536062191319546,0.20242057488653556,0.5531347159545559,0.28254881063406817,0.04911817853281249,0.05541989366486629,3484,3305
